iter	Passed	Remaining
0	160	160772
1	163	81626
2	165	55113
3	167	41746
4	171	34195
5	174	28945
6	176	25034
7	178	22104
8	180	19847
9	181	18012
10	183	16511
11	186	15386
12	189	14402
13	191	13513
14	194	12760
15	196	12056
16	197	11426
17	200	10938
18	203	10485
19	204	10043
20	206	9630
21	208	9253
22	209	8910
23	211	8593
24	212	8299
25	214	8047
26	217	7835
27	219	7604
28	220	7392
29	222	7196
30	224	7011
31	225	6831
32	227	6668
33	229	6519
34	231	6389
35	233	6252
36	235	6122
37	236	5992
38	237	5861
39	239	5737
40	240	5619
41	241	5510
42	242	5401
43	243	5299
44	245	5206
45	246	5113
46	247	5020
47	248	4930
48	249	4843
49	250	4760
50	251	4680
51	252	4602
52	253	4528
53	254	4457
54	255	4385
55	256	4316
56	256	4249
57	257	4186
58	259	4134
59	260	4080
60	261	4021
61	262	3964
62	262	3907
63	263	3852
64	264	3801
65	264	3749
66	265	3699
67	266	3650
68	267	3603
69	267	3556
70	268	3511
71	269	3468
72	269	3425
73	270	3384
74	271	3343
75	271	3306
76	272	3270
77	273	3234
78	274	3200
79	275	3165
80	275	3131
81	276	3097
82	277	3060
83	277	3028
84	278	2996
85	279	2965
86	279	2935
87	280	2905
88	280	2876
89	281	2847
90	282	2818
91	282	2790
92	283	2763
93	283	2736
94	284	2710
95	285	2685
96	285	2660
97	286	2639
98	287	2617
99	288	2594
100	289	2573
101	290	2554
102	290	2532
103	291	2510
104	292	2489
105	292	2469
106	293	2448
107	294	2428
108	294	2410
109	295	2391
110	296	2372
111	296	2354
112	297	2335
113	298	2317
114	298	2300
115	299	2284
116	300	2266
117	301	2250
118	301	2234
119	302	2217
120	303	2201
121	303	2186
122	304	2171
123	305	2157
124	306	2142
125	306	2127
126	307	2112
127	308	2098
128	308	2084
129	309	2071
130	310	2057
131	310	2044
132	311	2030
133	312	2017
134	312	2004
135	314	1996
136	315	1984
137	315	1972
138	316	1960
139	317	1948
140	317	1936
141	318	1926
142	319	1916
143	320	1905
144	321	1894
145	322	1884
146	322	1873
147	323	1863
148	324	1852
149	325	1843
150	326	1833
151	327	1824
152	328	1816
153	328	1806
154	329	1796
155	330	1786
156	330	1776
157	331	1767
158	332	1757
159	332	1748
160	333	1738
161	334	1730
162	335	1722
163	336	1713
164	336	1704
165	337	1695
166	338	1686
167	338	1678
168	339	1669
169	340	1661
170	340	1652
171	342	1649
172	343	1641
173	344	1633
174	344	1625
175	345	1617
176	346	1609
177	346	1601
178	347	1593
179	348	1587
180	349	1580
181	350	1573
182	350	1566
183	351	1558
184	352	1551
185	352	1543
186	353	1536
187	354	1529
188	354	1522
189	356	1518
190	356	1512
191	357	1505
192	358	1500
193	359	1493
194	360	1487
195	361	1480
196	361	1474
197	362	1467
198	363	1462
199	364	1457
200	365	1451
201	365	1445
202	366	1439
203	367	1433
204	368	1427
205	368	1421
206	369	1415
207	370	1410
208	371	1405
209	372	1400
210	373	1395
211	373	1390
212	374	1385
213	375	1380
214	376	1375
215	377	1370
216	378	1367
217	379	1362
218	380	1358
219	381	1352
220	382	1347
221	383	1343
222	384	1339
223	385	1334
224	386	1329
225	386	1324
226	387	1320
227	388	1315
228	389	1310
229	389	1305
230	390	1299
231	391	1294
232	391	1289
233	392	1284
234	393	1281
235	394	1277
236	395	1272
237	396	1267
238	396	1263
239	397	1258
240	398	1254
241	398	1249
242	399	1244
243	400	1240
244	400	1235
245	401	1231
246	402	1226
247	402	1221
248	403	1217
249	404	1213
250	405	1208
251	405	1204
252	406	1199
253	407	1195
254	407	1191
255	408	1188
256	409	1184
257	410	1180
258	411	1176
259	412	1173
260	412	1168
261	413	1164
262	414	1160
263	414	1156
264	415	1152
265	416	1148
266	416	1144
267	417	1140
268	418	1136
269	419	1132
270	419	1129
271	420	1125
272	421	1121
273	421	1117
274	422	1113
275	423	1110
276	424	1107
277	425	1104
278	426	1101
279	426	1097
280	427	1094
281	428	1090
282	429	1087
283	429	1083
284	430	1079
285	431	1076
286	431	1072
287	432	1068
288	433	1065
289	433	1061
290	434	1058
291	435	1055
292	435	1051
293	436	1048
294	437	1044
295	437	1041
296	439	1039
297	439	1036
298	440	1033
299	441	1029
300	442	1026
301	442	1023
302	443	1020
303	444	1016
304	444	1013
305	445	1010
306	446	1007
307	446	1004
308	447	1001
309	448	997
310	448	994
311	449	991
312	450	988
313	451	985
314	451	982
315	452	979
316	453	977
317	455	976
318	456	973
319	457	971
320	457	968
321	458	965
322	459	962
323	459	959
324	460	956
325	461	953
326	462	950
327	462	947
328	463	945
329	464	942
330	464	939
331	465	936
332	466	933
333	466	931
334	467	928
335	469	928
336	470	926
337	471	923
338	472	920
339	472	917
340	473	915
341	474	912
342	475	910
343	475	907
344	476	905
345	477	902
346	478	900
347	479	897
348	480	895
349	480	892
350	481	890
351	482	888
352	483	886
353	484	884
354	485	882
355	486	879
356	487	877
357	487	874
358	488	872
359	489	869
360	490	867
361	490	865
362	491	862
363	492	859
364	492	857
365	493	855
366	494	852
367	495	851
368	496	849
369	497	846
370	498	845
371	499	843
372	500	841
373	501	839
374	502	836
375	502	834
376	503	832
377	504	829
378	505	827
379	505	825
380	506	823
381	507	821
382	508	818
383	509	816
384	510	814
385	511	812
386	511	810
387	512	808
388	513	806
389	514	804
390	515	802
391	516	800
392	516	798
393	517	796
394	518	794
395	519	791
396	519	789
397	520	787
398	521	784
399	521	782
400	522	780
401	523	778
402	524	776
403	524	774
404	525	772
405	526	770
406	527	767
407	528	766
408	529	764
409	529	762
410	530	760
411	531	758
412	532	756
413	532	754
414	533	752
415	534	750
416	535	748
417	535	746
418	536	743
419	537	741
420	538	740
421	539	738
422	540	736
423	540	734
424	541	732
425	542	730
426	543	729
427	544	727
428	545	725
429	545	723
430	546	721
431	547	719
432	547	717
433	548	715
434	549	713
435	549	711
436	550	709
437	551	707
438	552	705
439	553	704
440	553	702
441	554	700
442	555	698
443	556	696
444	556	694
445	557	692
446	558	690
447	559	689
448	560	687
449	560	685
450	561	683
451	562	681
452	562	679
453	563	677
454	564	676
455	565	674
456	566	673
457	567	671
458	567	669
459	568	667
460	569	665
461	569	663
462	570	661
463	571	659
464	571	658
465	572	656
466	573	654
467	574	653
468	575	651
469	576	650
470	577	648
471	578	646
472	579	645
473	579	643
474	580	641
475	581	640
476	582	638
477	583	636
478	583	635
479	584	633
480	585	631
481	586	630
482	587	628
483	587	626
484	589	625
485	590	624
486	591	622
487	591	620
488	593	619
489	594	618
490	594	616
491	595	615
492	596	613
493	597	612
494	598	610
495	599	608
496	599	607
497	600	605
498	601	603
499	601	601
500	602	600
501	603	598
502	604	597
503	605	596
504	606	594
505	607	592
506	607	591
507	608	589
508	609	587
509	609	586
510	610	584
511	611	582
512	612	581
513	612	579
514	613	577
515	614	575
516	614	574
517	615	572
518	616	571
519	616	569
520	617	567
521	618	566
522	619	564
523	620	563
524	621	562
525	621	560
526	622	558
527	623	557
528	624	555
529	624	553
530	625	552
531	626	550
532	626	549
533	627	547
534	628	545
535	628	544
536	629	542
537	630	541
538	630	539
539	631	537
540	632	536
541	632	534
542	634	533
543	635	532
544	635	530
545	636	529
546	637	527
547	637	526
548	638	524
549	639	522
550	639	521
551	640	519
552	641	518
553	641	516
554	642	515
555	643	513
556	644	512
557	644	510
558	645	509
559	646	507
560	646	506
561	648	505
562	649	504
563	650	503
564	651	501
565	652	500
566	653	498
567	654	497
568	654	496
569	655	494
570	656	493
571	657	491
572	657	490
573	658	488
574	659	487
575	660	485
576	660	484
577	661	482
578	662	481
579	663	480
580	664	479
581	665	477
582	666	476
583	666	475
584	667	473
585	668	472
586	668	470
587	669	469
588	670	467
589	670	466
590	671	464
591	672	463
592	672	461
593	673	460
594	674	459
595	675	457
596	675	456
597	676	454
598	677	453
599	678	452
600	679	451
601	680	449
602	680	448
603	681	446
604	682	445
605	682	443
606	683	442
607	684	441
608	684	439
609	685	438
610	686	436
611	686	435
612	687	434
613	688	432
614	688	431
615	689	429
616	690	428
617	691	427
618	692	425
619	692	424
620	693	423
621	694	422
622	695	420
623	696	419
624	696	418
625	697	416
626	698	415
627	699	414
628	699	412
629	700	411
630	701	409
631	701	408
632	702	407
633	703	405
634	703	404
635	704	403
636	705	402
637	706	400
638	707	399
639	708	398
640	709	397
641	709	395
642	710	394
643	711	393
644	711	391
645	712	390
646	713	389
647	713	387
648	714	386
649	715	385
650	716	383
651	716	382
652	717	381
653	718	379
654	718	378
655	719	377
656	720	376
657	721	374
658	721	373
659	722	372
660	723	371
661	724	370
662	725	368
663	726	367
664	726	366
665	727	364
666	728	363
667	728	362
668	729	360
669	730	359
670	730	358
671	731	357
672	732	355
673	733	354
674	734	353
675	735	352
676	736	351
677	737	350
678	738	348
679	739	347
680	740	346
681	740	345
682	741	344
683	742	342
684	743	341
685	743	340
686	744	339
687	745	338
688	746	336
689	747	335
690	748	334
691	749	333
692	749	332
693	750	330
694	751	329
695	752	328
696	753	327
697	754	326
698	755	325
699	755	323
700	756	322
701	757	321
702	758	320
703	758	319
704	759	317
705	760	316
706	761	315
707	762	314
708	762	313
709	763	311
710	764	310
711	764	309
712	765	308
713	766	306
714	766	305
715	767	304
716	768	303
717	769	302
718	770	301
719	770	299
720	771	298
721	772	297
722	773	296
723	773	294
724	774	293
725	775	292
726	776	291
727	776	290
728	777	289
729	778	287
730	778	286
731	779	285
732	780	284
733	780	283
734	781	281
735	782	280
736	783	279
737	784	278
738	785	277
739	785	276
740	786	274
741	787	273
742	788	272
743	789	271
744	790	270
745	791	269
746	791	268
747	792	267
748	793	266
749	794	264
750	795	263
751	796	262
752	797	261
753	798	260
754	799	259
755	800	258
756	801	257
757	802	256
758	803	254
759	804	253
760	804	252
761	805	251
762	806	250
763	807	249
764	808	248
765	809	247
766	809	246
767	810	244
768	811	243
769	812	242
770	812	241
771	813	240
772	814	239
773	815	238
774	816	237
775	817	235
776	817	234
777	818	233
778	819	232
779	819	231
780	820	230
781	821	228
782	821	227
783	822	226
784	823	225
785	823	224
786	824	223
787	825	222
788	826	220
789	826	219
790	827	218
791	828	217
792	829	216
793	830	215
794	830	214
795	831	213
796	832	211
797	832	210
798	833	209
799	834	208
800	835	207
801	835	206
802	836	205
803	837	204
804	837	202
805	838	201
806	839	200
807	839	199
808	840	198
809	841	197
810	841	196
811	842	195
812	845	194
813	846	193
814	847	192
815	847	191
816	848	190
817	849	189
818	850	187
819	850	186
820	851	185
821	852	184
822	853	183
823	853	182
824	854	181
825	855	180
826	855	179
827	856	177
828	857	176
829	859	176
830	860	174
831	861	173
832	861	172
833	862	171
834	863	170
835	863	169
836	864	168
837	865	167
838	866	166
839	866	165
840	867	164
841	868	162
842	868	161
843	869	160
844	870	159
845	870	158
846	872	157
847	872	156
848	873	155
849	874	154
850	875	153
851	876	152
852	877	151
853	878	150
854	878	149
855	879	147
856	880	146
857	881	145
858	882	144
859	882	143
860	883	142
861	884	141
862	885	140
863	886	139
864	887	138
865	887	137
866	888	136
867	889	135
868	890	134
869	891	133
870	892	132
871	892	131
872	893	130
873	894	128
874	895	127
875	895	126
876	896	125
877	897	124
878	897	123
879	898	122
880	899	121
881	899	120
882	901	119
883	902	118
884	902	117
885	903	116
886	904	115
887	905	114
888	906	113
889	906	112
890	907	111
891	908	110
892	909	108
893	910	107
894	910	106
895	911	105
896	912	104
897	912	103
898	929	104
899	931	103
900	932	102
901	933	101
902	935	100
903	937	99
904	938	98
905	939	97
906	941	96
907	944	95
908	945	94
909	946	93
910	947	92
911	948	91
912	950	90
913	951	89
914	952	88
915	953	87
916	954	86
917	955	85
918	957	84
919	958	83
920	958	82
921	959	81
922	960	80
923	961	79
924	962	78
925	962	76
926	963	75
927	964	74
928	965	73
929	966	72
930	967	71
931	967	70
932	968	69
933	969	68
934	969	67
935	970	66
936	971	65
937	971	64
938	972	63
939	973	62
940	973	61
941	974	59
942	975	58
943	975	57
944	976	56
945	977	55
946	977	54
947	978	53
948	979	52
949	980	51
950	981	50
951	981	49
952	982	48
953	983	47
954	984	46
955	985	45
956	986	44
957	987	43
958	988	42
959	988	41
960	989	40
961	990	39
962	991	38
963	992	37
964	992	36
965	993	34
966	994	33
967	995	32
968	996	31
969	997	30
970	999	29
971	999	28
972	1000	27
973	1001	26
974	1002	25
975	1003	24
976	1004	23
977	1005	22
978	1005	21
979	1006	20
980	1007	19
981	1008	18
982	1009	17
983	1010	16
984	1011	15
985	1012	14
986	1013	13
987	1014	12
988	1015	11
989	1016	10
990	1016	9
991	1017	8
992	1018	7
993	1019	6
994	1020	5
995	1021	4
996	1021	3
997	1022	2
998	1023	1
999	1024	0
